Date,Open,High,Low,Close
07-Feb-18,34563.3,34666.33,34008.42,34082.71
08-Feb-18,34208.11,34634.35,34108.76,34413.16
09-Feb-18,34002.45,34070.73,33849.65,34005.76
12-Feb-18,34203.34,34351.34,34115.12,34300.47
14-Feb-18,34436.98,34473.43,34028.68,34155.95
15-Feb-18,34207.57,34535.08,34186.01,34297.47
16-Feb-18,34411.24,34508.24,33957.33,34010.76
19-Feb-18,34053.95,34122.96,33554.37,33774.66
20-Feb-18,33913.94,33960.95,33657.89,33703.59
21-Feb-18,33813.83,33911.36,33702.5,33844.86
22-Feb-18,33817.09,33868.74,33691.42,33819.5
23-Feb-18,33832,34167.6,33832,34142.15
26-Feb-18,34225.72,34483.39,34225.72,34445.75
27-Feb-18,34558.56,34610.79,34314.87,34346.39
28-Feb-18,34155.63,34302.74,34076.45,34184.04
01-Mar-18,34141.22,34278.63,34015.79,34046.94
05-Mar-18,34034.28,34034.28,33653.41,33746.78
06-Mar-18,34047.43,34060.13,33209.76,33317.2
07-Mar-18,33279.39,33331.21,32991.14,33033.09
08-Mar-18,33244.52,33439.97,33037.48,33351.57
09-Mar-18,33465.05,33519.49,33256.42,33307.14
12-Mar-18,33468.16,33962.48,33468.16,33917.94
13-Mar-18,33818.22,34077.32,33722.96,33856.78
14-Mar-18,33733.55,33875.15,33580.69,33835.74
15-Mar-18,33843.47,33866.28,33637.28,33685.54
16-Mar-18,33685.86,33691.32,33119.92,33176
19-Mar-18,33268.97,33275.79,32856.54,32923.12
20-Mar-18,32876.48,33102.74,32810.86,32996.76
21-Mar-18,33090.82,33354.93,33070.53,33136.18
22-Mar-18,33206.99,33281.77,32963.31,33006.27
23-Mar-18,32650.89,32720.03,32483.84,32596.54
26-Mar-18,32536.44,33115.41,32515.17,33066.41
27-Mar-18,33172.98,33371.04,33077.13,33174.39
28-Mar-18,33098.09,33104.11,32917.66,32968.68
02-Apr-18,33030.87,33289.34,32997.88,33255.36
03-Apr-18,33197.42,33402.94,33153.83,33370.63
04-Apr-18,33437.52,33505.53,32972.56,33019.07
05-Apr-18,33289.96,33637.46,33267.86,33596.8
06-Apr-18,33608.59,33697.51,33501.37,33626.97
09-Apr-18,33653.61,33846.5,33578.91,33788.54
10-Apr-18,33880.11,33949.98,33813.3,33880.25
11-Apr-18,33970.35,33981.54,33750.74,33940.44
12-Apr-18,33987.55,34177.44,33924.88,34101.13
13-Apr-18,34167.53,34313.14,34103.53,34192.65
16-Apr-18,33944.73,34341.46,33899.34,34305.43
17-Apr-18,34381.8,34434.14,34229.83,34395.06
18-Apr-18,34443.42,34591.81,34270.04,34331.68
19-Apr-18,34403.67,34478.82,34358.91,34427.29
20-Apr-18,34434.14,34487.33,34311.29,34415.58
23-Apr-18,34493.69,34663.95,34259.27,34450.77
24-Apr-18,34491.38,34706.71,34465.49,34616.64
25-Apr-18,34593.17,34631.27,34400.56,34501.27
26-Apr-18,34532.95,34747.97,34505.62,34713.6
27-Apr-18,34747.04,35065.37,34744.73,34969.7
30-Apr-18,35021.2,35213.3,35004,35160.36
02-May-18,35328.91,35357.15,35072.42,35176.42
03-May-18,35257.31,35257.31,35020.08,35103.14
04-May-18,35144.96,35206.55,34847.61,34915.38
07-May-18,34983.59,35259.81,34977.74,35208.14
08-May-18,35349.85,35388.87,35136.01,35216.32
09-May-18,35198.08,35404.83,35134.2,35319.35
10-May-18,35353.96,35500.76,35203.85,35246.27
11-May-18,35287.99,35596.15,35262.06,35535.79
14-May-18,35555.83,35642.72,35456.56,35556.71
15-May-18,35537.85,35993.53,35497.92,35543.94
16-May-18,35452.35,35543.89,35241.63,35387.88
17-May-18,35483.62,35510.01,35087.82,35149.12
18-May-18,35143.59,35163.11,34821.62,34848.3
21-May-18,34873.16,34973.95,34593.82,34616.13
22-May-18,34601.49,34754.6,34550.22,34651.24
23-May-18,34656.63,34668.47,34302.89,34344.91
24-May-18,34404.14,34741.46,34367.83,34663.11
25-May-18,34753.47,35017.93,34700.52,34924.87
28-May-18,35074.32,35240.96,35006.5,35165.48
29-May-18,35213.14,35234.14,34922.18,34949.24
30-May-18,34876.13,35017.45,34735.11,34906.11
31-May-18,35083.81,35416.03,34926.08,35322.38
01-Jun-18,35373.98,35438.22,35177.35,35227.26
04-Jun-18,35503.24,35555.59,34982.25,35011.89
05-Jun-18,35029.45,35073.12,34784.68,34903.21
06-Jun-18,34932.49,35230.54,34896.37,35178.88
07-Jun-18,35278.38,35628.49,35278.38,35463.08
08-Jun-18,35406.47,35484.94,35260,35443.67
11-Jun-18,35472.59,35704.84,35444.49,35483.47
12-Jun-18,35525.3,35743.08,35479.07,35692.52
13-Jun-18,35835.44,35877.41,35715.96,35739.16
14-Jun-18,35743.1,35749.88,35488.55,35599.82
15-Jun-18,35656.26,35675.2,35419.68,35622.14
18-Jun-18,35698.43,35721.55,35518.73,35548.26
19-Jun-18,35552.47,35552.47,35249.06,35286.74
20-Jun-18,35329.61,35571.37,35329.51,35547.33
21-Jun-18,35644.05,35678.69,35396.97,35432.39
22-Jun-18,35428.42,35741.26,35344.49,35689.6
25-Jun-18,35783.75,35806.97,35430.11,35470.35
26-Jun-18,35355.72,35616.64,35338.09,35490.04
27-Jun-18,35543.89,35618.85,35154.21,35217.11
28-Jun-18,35207.19,35282.4,34937.15,35037.64
29-Jun-18,35128.16,35459.05,35099.65,35423.48
02-Jul-18,35545.22,35578.24,35106.57,35264.41
03-Jul-18,35344.21,35445.21,35195.63,35378.6
04-Jul-18,35385.52,35667.31,35309.67,35645.4
05-Jul-18,35703.17,35748.26,35517.79,35574.55
06-Jul-18,35543.66,35799.71,35532.21,35657.86
09-Jul-18,35835.1,35977.37,35779.72,35934.72
10-Jul-18,36068.27,36274.33,36019.63,36239.62
11-Jul-18,36299.26,36362.3,36169.7,36265.93
12-Jul-18,36424.23,36699.53,36422.08,36548.41
13-Jul-18,36635.14,36740.07,36501.61,36541.63
16-Jul-18,36658.71,36658.71,36298.94,36323.77
17-Jul-18,36390.99,36549.55,36261.78,36519.96
18-Jul-18,36722.41,36747.87,36320.92,36373.44
19-Jul-18,36509.08,36515.58,36279.33,36351.23
20-Jul-18,36377.03,36567.34,36335.61,36496.37
23-Jul-18,36501.05,36749.69,36491.83,36718.6
24-Jul-18,36859.39,36902.06,36709.72,36825.1
25-Jul-18,36928.06,36947.18,36803.15,36858.23
26-Jul-18,36928.38,37061.62,36852.53,36984.64
27-Jul-18,37253.86,37368.62,37134.88,37336.85
30-Jul-18,37491.39,37533.5,37292.45,37494.4
31-Jul-18,37534.95,37644.59,37298.75,37606.58
01-Aug-18,37643.87,37711.87,37432.91,37521.62
02-Aug-18,37529.69,37529.69,37128.99,37165.16
03-Aug-18,37327.16,37582.27,37319.61,37556.16
06-Aug-18,37714.7,37805.25,37643.29,37691.89
07-Aug-18,37849.21,37876.87,37586.88,37665.8
08-Aug-18,37756.24,37931.42,37641.4,37887.56
09-Aug-18,37994.51,38076.23,37939.28,38024.37
10-Aug-18,38050.07,38051.45,37815.75,37869.23
13-Aug-18,37693.19,37799.54,37559.26,37644.9
14-Aug-18,37749.59,37932.4,37689.71,37852
16-Aug-18,37796.01,37891.92,37634.13,37663.56
17-Aug-18,37898.6,38022.32,37840.16,37947.88
20-Aug-18,38075.07,38340.69,38050.69,38278.75
21-Aug-18,38360.32,38402.96,38213.87,38285.75
23-Aug-18,38416.65,38487.63,38227.36,38336.76
24-Aug-18,38366.79,38429.5,38172.77,38251.8
27-Aug-18,38472.03,38736.88,38416.73,38694.11
28-Aug-18,38814.76,38938.91,38760.58,38896.63
29-Aug-18,38989.65,38989.65,38679.57,38722.93
30-Aug-18,38796.98,38819.06,38581.83,38690.1
31-Aug-18,38704.84,38838.45,38562.21,38645.07
03-Sep-18,38915.91,38934.35,38270.01,38312.52
04-Sep-18,38460.96,38518.56,38098.6,38157.92
05-Sep-18,38192.95,38250.61,37774.42,38018.31
06-Sep-18,38161.85,38320.96,37912.5,38242.81
07-Sep-18,38314.55,38421.56,38067.22,38389.82
10-Sep-18,38348.39,38354.52,37882.83,37922.17
11-Sep-18,38017.49,38043.27,37361.2,37413.13
12-Sep-18,37546.42,37752.58,37342,37717.96
14-Sep-18,37939.29,38125.62,37859.52,38090.64
17-Sep-18,38027.81,38027.81,37548.93,37585.51
18-Sep-18,37660.19,37745.44,37242.85,37290.67
19-Sep-18,37432.93,37530.63,37062.69,37121.22
21-Sep-18,37278.89,37489.24,35993.64,36841.6
24-Sep-18,36924.72,36945.5,36216.95,36305.02
25-Sep-18,36350.25,36705.79,36064.1,36652.06
26-Sep-18,36936.64,36938.74,36357.93,36542.27
27-Sep-18,36691.93,36711.62,36238.23,36324.17
28-Sep-18,36452.74,36551.86,35985.63,36227.14
01-Oct-18,36274.25,36616.64,35960.65,36526.14
03-Oct-18,36602.85,36602.85,35911.82,35975.63
04-Oct-18,35820.53,35820.53,35022.12,35169.16
05-Oct-18,35097.99,35118.54,34202.22,34376.99
08-Oct-18,34412.36,34636.43,33974.66,34474.38
09-Oct-18,34651.82,34711.68,34233.5,34299.47
10-Oct-18,34493.21,34858.35,34346.5,34760.89
11-Oct-18,34063.82,34325.18,33723.53,34001.15
12-Oct-18,34291.92,34808.42,34279.78,34733.58
15-Oct-18,34971.83,35008.65,34559.98,34865.1
16-Oct-18,35004.33,35215.79,34913.06,35162.48
17-Oct-18,35543.38,35605.43,34727.16,34779.58
19-Oct-18,34563.29,34563.29,34140.32,34315.63
22-Oct-18,34689.39,34748.69,34082.76,34134.38
23-Oct-18,33935.88,34073.92,33742.75,33847.23
24-Oct-18,34203.7,34300.97,33726.07,34033.96
25-Oct-18,33778.6,33838.76,33553.18,33690.09
26-Oct-18,33776.8,33776.8,33291.58,33349.31
29-Oct-18,33549.88,34154.6,33341.8,34067.4
30-Oct-18,34068.92,34176.36,33799.79,33891.13
31-Oct-18,33963.09,34463.38,33587.24,34442.05
01-Nov-18,34650.63,34679.93,34303.38,34431.97
02-Nov-18,34743.95,35190.2,34649.8,35011.65
05-Nov-18,35118.62,35123.41,34811.6,34950.92
06-Nov-18,35076.24,35196.03,34889.72,34991.91
07-Nov-18,35301.88,35302.25,35183.17,35237.68
09-Nov-18,35258.13,35287.29,35011.23,35158.55
12-Nov-18,35287.49,35333.22,34756.8,34812.99
13-Nov-18,34846.19,35187.75,34672.2,35144.49
14-Nov-18,35330.14,35351.88,34986.86,35141.99
15-Nov-18,35145.75,35402,35118.42,35260.54
16-Nov-18,35398.7,35545.85,35324.37,35457.16
19-Nov-18,35647.62,35818.83,35511.1,35774.88
20-Nov-18,35730.77,35731.67,35416.18,35474.51
21-Nov-18,35492.62,35494.25,35112.49,35199.8
22-Nov-18,35282.33,35364.5,34937.98,34981.02
26-Nov-18,35118.09,35397.24,34896.07,35354.08
27-Nov-18,35394.77,35555.16,35262.97,35513.14
28-Nov-18,35635.52,35822.16,35605.34,35716.95
29-Nov-18,35997.29,36253.85,35946.24,36170.41
30-Nov-18,36304.43,36389.22,36082.97,36194.3
03-Dec-18,36396.69,36446.16,36099.68,36241
04-Dec-18,36290.48,36295.84,36036.39,36134.31
05-Dec-18,36035.65,36048.65,35777.81,35884.41
06-Dec-18,35694.25,35707.23,35266.76,35312.13
07-Dec-18,35494.86,35730.05,35378.27,35673.25
10-Dec-18,35204.66,35246.97,34915.77,34959.72
11-Dec-18,34584.13,35207.33,34426.29,35150.01
12-Dec-18,35277.84,35826.58,35167.47,35779.07
13-Dec-18,36024.88,36095.56,35794.51,35929.64
14-Dec-18,35960.19,36019.02,35813.85,35962.93
17-Dec-18,36129.13,36312.31,36123.62,36270.07
18-Dec-18,36226.38,36375.38,36046.52,36347.08
19-Dec-18,36441.46,36554.99,36381.87,36484.33
20-Dec-18,36321.18,36475.52,36202.9,36431.67
21-Dec-18,36449.27,36483.49,35694.74,35742.07
24-Dec-18,35859.66,35910.67,35423.24,35470.15
26-Dec-18,35443.16,35711.26,35010.82,35649.94
27-Dec-18,36002.11,36041.24,35781.95,35807.28
28-Dec-18,35911.99,36194.78,35911.99,36076.72
31-Dec-18,36239.19,36285.46,36033.95,36068.33
01-Jan-19,36161.8,36284.04,35888.62,36254.57
02-Jan-19,36198.13,36236.7,35734.01,35891.52
03-Jan-19,35934.5,35999.66,35475.57,35513.71
04-Jan-19,35590.79,35744.2,35382.08,35695.1
07-Jan-19,35971.18,36076.95,35809.23,35850.16
08-Jan-19,35964.62,36037.35,35753.95,35980.93
09-Jan-19,36181.37,36250.54,35863.29,36212.91
10-Jan-19,36258,36269.31,36070.76,36106.5
11-Jan-19,36191.87,36214.26,35840.6,36009.84
14-Jan-19,36113.27,36124.94,35691.75,35853.56
15-Jan-19,35950.08,36349.31,35950.08,36318.33
16-Jan-19,36370.74,36462.03,36278.61,36321.29
17-Jan-19,36413.6,36468.42,36170.8,36374.08
18-Jan-19,36417.58,36469.98,36218.33,36386.61
21-Jan-19,36467.12,36701.03,36351.77,36578.96
22-Jan-19,36649.92,36650.47,36282.93,36444.64
23-Jan-19,36494.12,36521.47,36037.9,36108.47
24-Jan-19,36146.55,36258.28,35996.68,36195.1
25-Jan-19,36245.77,36474.48,35953.15,36025.54
28-Jan-19,36099.62,36124.26,35565.15,35656.7
29-Jan-19,35716.72,35734.14,35375.51,35592.5
30-Jan-19,35819.67,35850.41,35490.97,35591.25
31-Jan-19,35805.51,36278.13,35740.07,36256.69
01-Feb-19,36311.74,36778.14,36221.32,36469.43
04-Feb-19,36456.22,36622.77,36225.48,36582.74
05-Feb-19,36573.04,36727.83,36495.83,36616.81
06-Feb-19,36714.54,37005.25,36680.88,36975.23
07-Feb-19,37026.56,37172.18,36898.8,36971.09
08-Feb-19,36873.59,36885.58,36480.62,36546.48
11-Feb-19,36585.5,36588.41,36300.48,36395.03
12-Feb-19,36405.72,36465.4,36113.91,36153.62
13-Feb-19,36279.63,36375.8,35962.68,36034.11
14-Feb-19,36065.08,36109.1,35799.42,35876.22
15-Feb-19,35985.68,36022.57,35510.97,35808.95
18-Feb-19,35831.18,35912.44,35470.76,35498.44
19-Feb-19,35543.24,35776.04,35287.16,35352.61
20-Feb-19,35564.93,35797.11,35469.49,35756.26
21-Feb-19,35837,35983.07,35707.29,35898.35
22-Feb-19,35906.01,35941.69,35795.79,35871.48
25-Feb-19,35983.8,36242.18,35901.06,36213.38
26-Feb-19,35975.75,36172.52,35714.16,35973.71
27-Feb-19,36138.83,36371.11,35735.33,35905.43
28-Feb-19,36025.72,36085.85,35829.15,35867.44
01-Mar-19,36018.49,36140.67,35952.41,36063.81
05-Mar-19,36141.07,36457.44,35926.94,36442.54
06-Mar-19,36544.86,36666.47,36456.82,36636.1
07-Mar-19,36744.02,36830.25,36590.88,36725.42
08-Mar-19,36753.59,36753.59,36592.93,36671.43
11-Mar-19,36741.57,37106.19,36726.39,37054.1
12-Mar-19,37249.65,37586.63,37230.85,37535.66
13-Mar-19,37608.29,37797.29,37478.87,37752.17
14-Mar-19,37840.64,37907.78,37693.69,37754.89
15-Mar-19,37760.23,38254.77,37760.23,38024.32
18-Mar-19,38132.96,38369.59,37952.1,38095.07
19-Mar-19,38218.59,38396.06,38078.23,38363.47
20-Mar-19,38433.86,38489.81,38316.21,38386.75
22-Mar-19,38452.47,38564.71,38089.36,38164.61
25-Mar-19,38016.76,38016.76,37667.4,37808.91
26-Mar-19,37886.29,38297.7,37800.08,38233.41
27-Mar-19,38372.03,38475.93,38001.34,38132.88
28-Mar-19,38208.3,38593.65,38148.44,38545.72
29-Mar-19,38675,38748.54,38546.68,38672.91
01-Apr-19,38858.88,39115.57,38808.74,38871.87
02-Apr-19,38988.57,39121.69,38846.96,39056.65
03-Apr-19,39167.05,39270.14,38826.56,38877.12
04-Apr-19,38935.75,38939.35,38581.04,38684.72
05-Apr-19,38839.52,38958.6,38701.04,38862.23
08-Apr-19,38993.6,39041.25,38520.96,38700.53
09-Apr-19,38730.93,38978.99,38598.72,38939.22
10-Apr-19,38898.6,38950.45,38542.28,38585.35
11-Apr-19,38621.58,38649.98,38460.25,38607.01
12-Apr-19,38692.06,38818.87,38554.79,38767.11
15-Apr-19,38805.54,38976.58,38780.08,38905.84
16-Apr-19,39040.3,39364.34,39038.81,39275.64
18-Apr-19,39420.04,39487.45,39083.16,39140.28
22-Apr-19,39158.22,39158.22,38585.65,38645.18
23-Apr-19,38771.27,38832.61,38518.26,38564.88
24-Apr-19,38672.63,39095.35,38571,39054.68
25-Apr-19,39101.78,39262.22,38663.98,38730.86
26-Apr-19,38865.83,39103.16,38765.33,39067.33
30-Apr-19,39056.92,39105.88,38753.46,39031.55
02-May-19,39036.51,39189.95,38882.99,38981.43
03-May-19,39009.55,39172.76,38920.17,38963.26
06-May-19,38719.33,38719.33,38509.79,38600.34
07-May-19,38815.46,38835.54,38236.18,38276.63
08-May-19,38244.18,38248.57,37743.07,37789.13
09-May-19,37747.91,37780.46,37405.4,37558.91
10-May-19,37632.36,37721.98,37370.39,37462.99
13-May-19,37491.3,37583.57,36999.84,37090.82
14-May-19,37146.58,37572.7,36956.1,37318.53
15-May-19,37539.05,37559.67,37047.87,37114.88
16-May-19,37179.13,37518.94,37052.3,37393.48
17-May-19,37494.42,38001.13,37415.36,37930.77
20-May-19,38701.18,39412.56,38570.04,39352.67
21-May-19,39449.45,39571.73,38884.85,38969.8
22-May-19,39086.21,39249.08,38903.87,39110.21
23-May-19,39591.77,40124.96,38651.61,38811.39
24-May-19,39076.28,39476.97,38824.26,39434.72
27-May-19,39536.23,39821.94,39353.16,39683.29
28-May-19,39765.64,39828.65,39498.65,39749.73
29-May-19,39714.27,39767.93,39420.5,39502.05
30-May-19,39580.28,39911.92,39500.56,39831.97
31-May-19,39998.91,40122.34,39374.24,39714.2
03-Jun-19,39806.86,40308.9,39711.02,40267.62
04-Jun-19,40196,40312.07,40031.05,40083.54
06-Jun-19,40136.43,40159.26,39481.15,39529.72
07-Jun-19,39581.77,39703.1,39279.47,39615.9
10-Jun-19,39787.33,39979.48,39619.97,39784.52
11-Jun-19,39900.45,40066.31,39760.02,39950.46
12-Jun-19,39974.18,39982.1,39623.53,39756.81
13-Jun-19,39679.35,39800.81,39461.27,39741.36
14-Jun-19,39797,39799.9,39363.45,39452.07
17-Jun-19,39514.36,39540.42,38911.49,38960.79
18-Jun-19,39056.98,39167.83,38870.96,39046.34
19-Jun-19,39176.56,39435.8,38881.05,39112.74
20-Jun-19,39042.96,39638.64,38933.78,39601.63
21-Jun-19,39608.25,39617.95,39121.3,39194.49
24-Jun-19,39160.23,39300.02,39021.7,39122.96
25-Jun-19,39131.94,39490.64,38946.04,39434.94
26-Jun-19,39379.13,39674.22,39319.64,39592.08
27-Jun-19,39633.97,39817.22,39510.44,39586.41
28-Jun-19,39630.52,39675.25,39361.92,39394.64
01-Jul-19,39543.73,39764.82,39541.09,39686.5
02-Jul-19,39811.68,39838.49,39499.19,39816.48
03-Jul-19,39907.57,39934.99,39732.38,39839.25
04-Jul-19,39917.65,39979.1,39858.33,39908.06
05-Jul-19,39990.4,40032.41,39441.38,39513.39
08-Jul-19,39476.38,39476.38,38605.48,38720.57
09-Jul-19,38754.47,38814.23,38435.87,38730.82
10-Jul-19,38701.99,38854.85,38474.66,38557.04
11-Jul-19,38751.62,38892.5,38631.31,38823.11
12-Jul-19,38941.1,39021.84,38684.85,38736.23
15-Jul-19,39009.95,39023.97,38696.6,38896.71
16-Jul-19,38961.86,39173.89,38845.27,39131.04
17-Jul-19,39171.1,39284.73,39081.14,39215.64
18-Jul-19,39204.47,39204.47,38861.25,38897.46
19-Jul-19,39058.73,39058.73,38271.35,38337.01
22-Jul-19,38333.52,38333.52,37890.32,38031.13
23-Jul-19,38138.56,38217.81,37898.9,37982.74
24-Jul-19,37990.23,38102.84,37708.41,37847.65
25-Jul-19,37935.02,38169.87,37775.51,37830.98
26-Jul-19,37831.18,37978.07,37690.47,37882.79
29-Jul-19,38043.22,38043.22,37519.16,37686.37
30-Jul-19,37735.54,37950.21,37359.03,37397.24
31-Jul-19,37257.55,37576.37,37128.26,37481.12
01-Aug-19,37387.18,37387.18,36694.18,37018.32
02-Aug-19,36920.11,37375.16,36607.41,37118.22
05-Aug-19,36842.17,36844.05,36416.79,36699.84
06-Aug-19,36568.03,37241.77,36536.59,36976.85
07-Aug-19,37025.27,37104.79,36610.57,36690.5
08-Aug-19,36808.01,37405.48,36655.41,37327.36
09-Aug-19,37521.3,37807.55,37406.26,37581.91
13-Aug-19,37755.16,37755.16,36888.49,36958.16
14-Aug-19,37233.5,37473.61,37000.77,37311.53
16-Aug-19,37383,37444.45,36974.41,37350.33
19-Aug-19,37485.92,37718.88,37358.49,37402.49
20-Aug-19,37441.75,37511.55,37219.9,37328.01
21-Aug-19,37298.73,37406.55,37022.52,37060.37
22-Aug-19,37087.58,37087.58,36391.35,36472.93
23-Aug-19,36387.68,36807.34,36102.35,36701.16
26-Aug-19,37363.95,37544.48,36492.65,37494.12
27-Aug-19,37658.48,37731.51,37449.69,37641.27
28-Aug-19,37655.77,37687.82,37249.19,37451.84
29-Aug-19,37381.8,37381.8,36987.35,37068.93
30-Aug-19,37222.26,37397.97,36829.81,37332.79
03-Sep-19,37181.76,37188.38,36466.01,36562.91
04-Sep-19,36575.24,36776.31,36409.54,36724.74
05-Sep-19,36821.71,36898.99,36541.88,36644.42
06-Sep-19,36785.59,37012.98,36727.66,36981.77
09-Sep-19,36969.48,37244.08,36784.47,37145.45
11-Sep-19,37251.03,37343.46,37193.57,37270.82
12-Sep-19,37330.47,37435.15,37048.67,37104.28
13-Sep-19,37175.86,37413.5,37000.09,37384.99
16-Sep-19,37204.56,37302.06,37028.94,37123.31
17-Sep-19,37169.46,37169.56,36419.09,36481.09
18-Sep-19,36621.38,36712.99,36465.92,36563.88
19-Sep-19,36613.93,36613.93,35987.8,36093.47
20-Sep-19,36214.92,38378.02,36085.74,38014.62
23-Sep-19,38844,39441.12,38674.04,39090.03
24-Sep-19,39135.28,39306.37,38913.06,39097.14
25-Sep-19,39087.2,39087.2,38510.97,38593.52
26-Sep-19,38700.48,39158.07,38676.11,38989.74
27-Sep-19,39003.13,39107.37,38782.6,38822.57
30-Sep-19,38873.12,38873.12,38401.09,38667.33
01-Oct-19,38813.48,38923.78,37929.89,38305.41
03-Oct-19,38137.87,38310.93,37957.56,38106.87
04-Oct-19,38401.49,38403.54,37633.36,37673.31
07-Oct-19,37853.8,37919.47,37480.53,37531.98
09-Oct-19,37628.05,38209.84,37415.83,38177.95
10-Oct-19,38130.23,38130.23,37802.93,37880.4
11-Oct-19,37994.48,38345.41,37737.85,38127.08
14-Oct-19,38208.24,38513.69,38066.13,38214.47
15-Oct-19,38316.49,38635.19,38238.27,38506.09
16-Oct-19,38637.05,38666.38,38416.67,38598.99
17-Oct-19,38647.44,39104.69,38557.43,39052.06
18-Oct-19,39087.83,39361.06,38963.6,39298.38
22-Oct-19,39233.4,39426.47,38924.85,38963.84
23-Oct-19,39063.84,39196.67,38866.08,39058.83
24-Oct-19,39223.01,39327.15,38840.76,39020.39
25-Oct-19,39201.67,39241.61,38718.27,39058.06
27-Oct-19,39397.37,39402.23,39180.39,39250.2
29-Oct-19,39293.49,39917.01,39254.12,39831.84
30-Oct-19,40055.63,40178.12,39805.11,40051.87
31-Oct-19,40211.99,40392.22,40054.89,40129.05
01-Nov-19,40196.07,40283.3,40014.23,40165.03
04-Nov-19,40293.85,40483.21,40186.29,40301.96
05-Nov-19,40445.67,40466.55,40053.55,40248.23
06-Nov-19,40311.85,40606.91,40037.53,40469.78
07-Nov-19,40625.64,40688.27,40421.07,40653.74
08-Nov-19,40630.56,40749.33,40263.94,40323.61
11-Nov-19,40316.5,40417.44,40150.97,40345.08
13-Nov-19,40346.43,40447.17,40061.23,40116.06
14-Nov-19,40178.93,40348.61,40026.99,40286.48
15-Nov-19,40408.2,40650.06,40308.09,40356.69
18-Nov-19,40431.08,40542.4,40221.97,40284.19
19-Nov-19,40455.36,40544.13,40290.21,40469.7
20-Nov-19,40729.8,40816.38,40575.96,40651.64
21-Nov-19,40737.31,40744.85,40534.12,40575.17
22-Nov-19,40653.17,40653.17,40276.83,40359.41
25-Nov-19,40439.66,40931.71,40393.9,40889.23
26-Nov-19,41022.85,41120.28,40710.2,40821.3
27-Nov-19,40979.39,41075.76,40848.7,41020.61
28-Nov-19,41161.54,41163.79,40996.08,41130.17
29-Nov-19,41138.26,41143.22,40664.18,40793.81
02-Dec-19,41072.94,41093.99,40707.63,40802.17
03-Dec-19,40852.61,40885.03,40554.04,40675.45
04-Dec-19,40606.01,40886.87,40475.83,40850.29
05-Dec-19,40988.14,41002.41,40720.17,40779.59
06-Dec-19,40952.13,40952.13,40337.53,40445.15
09-Dec-19,40527.24,40645.63,40336.56,40487.43
10-Dec-19,40588.81,40588.81,40208.7,40239.88
11-Dec-19,40285.2,40466.13,40135.37,40412.57
12-Dec-19,40561.34,40712.65,40490.69,40581.71
13-Dec-19,40754.82,41055.8,40736.7,41009.71
16-Dec-19,41168.85,41185.03,40917.93,40938.72
17-Dec-19,41052.36,41401.65,41005.18,41352.17
18-Dec-19,41442.75,41614.77,41358.47,41558.57
19-Dec-19,41571.82,41719.29,41456.4,41673.92
20-Dec-19,41746.2,41809.96,41636.11,41681.54
23-Dec-19,41548.26,41701.62,41474.61,41642.66
24-Dec-19,41684.51,41702.98,41423.07,41461.26
26-Dec-19,41543.8,41543.8,41132.89,41163.76
27-Dec-19,41297.08,41611.27,41264.92,41575.14
30-Dec-19,41686.27,41714.73,41453.38,41558
31-Dec-19,41607.49,41607.49,41184.73,41253.74
01-Jan-20,41349.36,41443.52,41251.18,41306.02
02-Jan-20,41340.27,41649.29,41328.45,41626.64
03-Jan-20,41634.51,41636.18,41348.68,41464.61
06-Jan-20,41378.34,41378.34,40613.96,40676.63
07-Jan-20,40983.04,41230.14,40727.37,40869.47
08-Jan-20,40574.83,40866.36,40476.55,40817.74
09-Jan-20,41216.67,41482.12,41175.72,41452.35
10-Jan-20,41568.2,41775.11,41447.8,41599.72
13-Jan-20,41788.21,41899.63,41720.76,41859.69
14-Jan-20,41883.09,41994.26,41770.9,41952.63
15-Jan-20,41969.86,41969.86,41648.11,41872.73
16-Jan-20,41924.74,42059.45,41812.28,41932.56
17-Jan-20,41929.02,42063.93,41850.29,41945.37
20-Jan-20,42263,42273.87,41503.37,41528.91
21-Jan-20,41487.57,41532.59,41294.3,41323.81
22-Jan-20,41467.13,41532.29,41059.04,41115.38
23-Jan-20,41191.5,41413.96,41098.91,41386.4
24-Jan-20,41377.04,41697.03,41275.6,41613.19
27-Jan-20,41510.68,41516.27,41122.48,41155.12
28-Jan-20,41299.68,41333.25,40869.75,40966.86
29-Jan-20,41131.57,41334.86,41108.19,41198.66
30-Jan-20,41380.14,41380.14,40829.91,40913.82
31-Jan-20,41146.56,41154.49,40671.01,40723.49
01-Feb-20,40753.18,40905.78,39631.24,39735.53
03-Feb-20,39701.02,40014.9,39563.07,39872.31
04-Feb-20,40178.74,40818.94,40117.46,40789.38
05-Feb-20,40921.71,41177,40703.32,41142.66
06-Feb-20,41209.13,41405.43,41113.11,41306.03
07-Feb-20,41394.41,41394.41,41073.36,41141.85
10-Feb-20,41166.72,41172.06,40798.98,40979.62
11-Feb-20,41183.39,41444.34,41179.14,41216.14
12-Feb-20,41330.85,41671.86,41330.85,41565.9
13-Feb-20,41707.21,41709.3,41338.31,41459.79
14-Feb-20,41510.19,41702.36,41183.13,41257.74
17-Feb-20,41324.04,41420.34,41030.58,41055.69
18-Feb-20,41042.46,41042.46,40610.95,40894.38
19-Feb-20,41121.51,41357.16,41048.93,41323
20-Feb-20,41334.96,41399.93,41134.31,41170.12
24-Feb-20,41037.01,41037.01,40306.36,40363.23
